date,time,open,high,low,close,volume
2017/1/4,16:30,19070,19110,19070,19105,6981
2017/1/4,16:45,19105,19120,19100,19105,5843
2017/1/4,17:00,19105,19110,19060,19070,9595
2017/1/4,17:15,19070,19090,19065,19085,5873
2017/1/4,17:30,19085,19095,19080,19080,2809
2017/1/4,17:45,19085,19090,19080,19085,2045
2017/1/4,18:00,19090,19100,19075,19095,4178
2017/1/4,18:15,19100,19100,19080,19085,2163
2017/1/4,18:30,19085,19090,19070,19085,2783
2017/1/4,18:45,19080,19090,19075,19080,2591
2017/1/4,19:00,19075,19090,19075,19085,4178
2017/1/4,19:15,19085,19085,19070,19075,2043
2017/1/4,19:30,19075,19085,19075,19075,2449
2017/1/4,19:45,19080,19085,19075,19080,2224
2017/1/4,20:00,19080,19085,19075,19080,979
2017/1/4,20:15,19075,19080,19070,19075,1925
2017/1/4,20:30,19075,19085,19075,19080,1407
2017/1/4,20:45,19080,19085,19080,19085,370
2017/1/4,21:00,19080,19085,19075,19075,1318
2017/1/4,21:15,19080,19095,19075,19090,3002
2017/1/4,21:30,19090,19110,19090,19100,2802
2017/1/4,21:45,19100,19120,19100,19115,2394
2017/1/4,22:00,19115,19130,19105,19115,5554
2017/1/4,22:15,19115,19115,19100,19105,2298
2017/1/4,22:30,19110,19110,19095,19095,1864
2017/1/4,22:45,19100,19105,19090,19095,3703
2017/1/4,23:00,19095,19100,19085,19095,2678
2017/1/4,23:15,19095,19100,19090,19090,1748
2017/1/4,23:30,19095,19095,19060,19065,13583
2017/1/4,23:45,19065,19075,19040,19050,9664
2017/1/4,0:00,19045,19065,19040,19060,6144
2017/1/4,0:15,19060,19065,19035,19035,3626
2017/1/4,0:30,19035,19060,19030,19035,5803
2017/1/4,0:45,19030,19050,19010,19035,10262
2017/1/4,1:00,19040,19050,19030,19045,3999
2017/1/4,1:15,19045,19080,19035,19050,5705
2017/1/4,1:30,19050,19070,19040,19070,2699
2017/1/4,1:45,19065,19080,19060,19060,2394
2017/1/4,2:00,19060,19060,19040,19060,2542
